episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,100.0,0.0,0.0,1.0,0.0,1,collision
1,1.9032639002867797,1.0,1.0,0.0,1.0,4,stopped
2,2.4049970886192438,1.0,1.0,0.0,1.0,1,stopped
3,1.2427436565057888,1.0,1.0,0.0,1.0,1,stopped
4,4.320724307296551,1.0,1.0,0.0,1.0,1,stopped
5,100.0,0.0,0.0,1.0,0.0,1,collision
6,7.378117912619564,1.0,1.0,0.0,1.0,1,stopped
7,4.00971457253217,1.0,1.0,0.0,1.0,1,stopped
8,4.187778774979213,1.0,1.0,0.0,1.0,1,stopped
9,0.78038609821916,1.0,1.0,0.0,1.0,1,stopped
10,7.0682099728461765,1.0,1.0,0.0,1.0,1,stopped
11,7.187841385156515,1.0,1.0,0.0,1.0,1,stopped
12,4.232414793584405,1.0,1.0,0.0,1.0,1,stopped
13,2.693613061678081,1.0,1.0,0.0,1.0,3,stopped
14,2.985012824004404,1.0,1.0,0.0,1.0,1,stopped
15,1.199745363808189,1.0,1.0,0.0,1.0,1,stopped
16,5.196521910613511,1.0,1.0,0.0,1.0,1,stopped
17,3.765123730154342,1.0,1.0,0.0,1.0,1,stopped
18,4.797717634678563,1.0,1.0,0.0,1.0,1,stopped
19,0.6658704341550462,1.0,1.0,0.0,1.0,1,stopped
