episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,3.058339332527714,1.0,1.0,0.0,1.0,2,stopped
1,1.6388880721053631,1.0,1.0,0.0,1.0,2,stopped
2,4.926555316632225,1.0,1.0,0.0,1.0,1,stopped
3,3.955979980743586,1.0,1.0,0.0,1.0,1,stopped
4,3.151634994475255,1.0,1.0,0.0,1.0,1,stopped
5,7.83922708766607,1.0,1.0,0.0,1.0,1,stopped
6,100.0,0.0,0.0,1.0,0.0,1,collision
7,2.6204288154082915,1.0,1.0,0.0,1.0,2,stopped
8,3.853482210694937,1.0,1.0,0.0,1.0,1,stopped
9,7.4430407688488875,1.0,1.0,0.0,1.0,1,stopped
10,9.30348319422694,1.0,1.0,0.0,1.0,1,stopped
11,1.254564408153795,1.0,1.0,0.0,1.0,2,stopped
12,4.630815012074294,1.0,1.0,0.0,1.0,1,stopped
13,9.29354241098479,1.0,1.0,0.0,1.0,1,stopped
14,4.87660150228168,1.0,1.0,0.0,1.0,1,stopped
15,8.606274771002422,1.0,1.0,0.0,1.0,1,stopped
16,8.881271730555179,1.0,1.0,0.0,1.0,1,stopped
17,8.008713589597082,1.0,1.0,0.0,1.0,1,stopped
18,2.9718199332510746,1.0,1.0,0.0,1.0,1,stopped
19,1.108699142314926,1.0,1.0,0.0,1.0,1,stopped
