episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,0.3679592959117533,1.0,1.0,0.0,1.0,8,parked
1,6.9676017112551305,1.0,1.0,0.0,1.0,13,parked
2,0.11376474630786255,1.0,1.0,0.0,1.0,5,parked
3,0.15953489264630752,1.0,1.0,0.0,1.0,3,parked
4,2.5046117524172558,1.0,1.0,0.0,1.0,11,parked
5,2.416980538797507,1.0,1.0,0.0,1.0,10,parked
6,0.44594555321423796,1.0,1.0,0.0,1.0,10,parked
7,5.102361503887763,1.0,1.0,0.0,1.0,14,parked
8,1.689915403220382,1.0,1.0,0.0,1.0,9,parked
9,22.5101784930605,1.0,1.0,0.0,1.0,18,parked
10,1.9208791243913947,1.0,1.0,0.0,1.0,10,parked
11,2.7429925420713883,1.0,1.0,0.0,1.0,10,parked
12,0.1206872872114626,1.0,1.0,0.0,1.0,3,parked
13,3.4288496126378334,1.0,1.0,0.0,1.0,12,parked
14,4.534314576911935,1.0,1.0,0.0,1.0,11,parked
15,0.5485120521055492,1.0,1.0,0.0,1.0,10,parked
16,1.6852095297803864,1.0,1.0,0.0,1.0,11,parked
17,1.3285080530634215,1.0,1.0,0.0,1.0,8,parked
18,0.0023553576677638743,1.0,1.0,0.0,1.0,1,parked
19,3.4445437509580183,1.0,1.0,0.0,1.0,12,parked
