episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,4.464147464008045,1.0,1.0,0.0,1.0,11,parked
1,4.412208834333594,1.0,1.0,0.0,1.0,14,parked
2,12.899755671579717,1.0,1.0,0.0,1.0,16,parked
3,10.813685271642504,1.0,1.0,0.0,1.0,14,parked
4,0.4033568353973949,1.0,1.0,0.0,1.0,11,parked
5,10.564096401193094,1.0,1.0,0.0,1.0,16,parked
6,2.4344148868908815,1.0,1.0,0.0,1.0,12,parked
7,1.0363721415273504,1.0,1.0,0.0,1.0,10,parked
8,1.1889391487515473,1.0,1.0,0.0,1.0,10,parked
9,18.860551182986224,1.0,1.0,0.0,1.0,16,parked
10,9.675079632175535,1.0,1.0,0.0,1.0,14,parked
11,4.872582396770507,1.0,1.0,0.0,1.0,11,parked
12,0.46672893550845534,1.0,1.0,0.0,1.0,8,parked
13,2.213543604940475,1.0,1.0,0.0,1.0,10,parked
14,14.28442386032828,1.0,1.0,0.0,1.0,16,parked
15,8.360198664987587,1.0,1.0,0.0,1.0,15,parked
16,0.3864135525057409,1.0,1.0,0.0,1.0,8,parked
17,4.764867411423906,1.0,1.0,0.0,1.0,12,parked
18,2.026048125066296,1.0,1.0,0.0,1.0,11,parked
19,0.43091461363285866,1.0,1.0,0.0,1.0,8,parked
