episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,7.585972862228512,1.0,1.0,0.0,1.0,15,goal
1,7.1391006496037654,1.0,1.0,0.0,1.0,14,goal
2,8.712766668446953,1.0,1.0,0.0,1.0,16,goal
3,8.697924373453555,1.0,1.0,0.0,1.0,15,goal
4,8.585074552088248,1.0,1.0,0.0,1.0,16,goal
5,7.623636018537404,1.0,1.0,0.0,1.0,14,goal
6,8.484907602487924,1.0,1.0,0.0,1.0,15,goal
7,7.954898666425576,1.0,1.0,0.0,1.0,16,goal
8,8.010330806414983,1.0,1.0,0.0,1.0,15,goal
9,9.11212864870489,1.0,1.0,0.0,1.0,16,goal
10,8.973597336722193,1.0,1.0,0.0,1.0,16,goal
11,7.821223152066879,1.0,1.0,0.0,1.0,14,goal
12,8.596661389283582,1.0,1.0,0.0,1.0,16,goal
13,9.600290346251144,1.0,1.0,0.0,1.0,17,goal
14,8.524093794523099,1.0,1.0,0.0,1.0,15,goal
15,8.404649731136203,1.0,1.0,0.0,1.0,15,goal
16,8.146584512833773,1.0,1.0,0.0,1.0,15,goal
17,9.533364508080513,1.0,1.0,0.0,1.0,17,goal
18,8.038579819048321,1.0,1.0,0.0,1.0,15,goal
19,8.569723786575816,1.0,1.0,0.0,1.0,15,goal
