episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,54.84468966769743,0.0,0.0,0.0,0.0,120,horizon
1,54.501323699728054,0.0,0.0,0.0,0.0,120,horizon
2,54.40781540455093,0.0,0.0,0.0,0.0,120,horizon
3,54.59669430028681,0.0,0.0,0.0,0.0,120,horizon
4,54.99457528400128,0.0,0.0,0.0,0.0,120,horizon
5,53.51154283541688,0.0,0.0,0.0,0.0,120,horizon
6,54.6410605606558,0.0,0.0,0.0,0.0,120,horizon
7,53.99549861014609,0.0,0.0,0.0,0.0,120,horizon
8,54.86058473633579,0.0,0.0,0.0,0.0,120,horizon
9,54.4864236666976,0.0,0.0,0.0,0.0,120,horizon
10,54.85317717025142,0.0,0.0,0.0,0.0,120,horizon
11,54.97875698088086,0.0,0.0,0.0,0.0,120,horizon
12,54.03150879197566,0.0,0.0,0.0,0.0,120,horizon
13,53.98099016887962,0.0,0.0,0.0,0.0,120,horizon
14,54.01961646217602,0.0,0.0,0.0,0.0,120,horizon
15,53.91486690484128,0.0,0.0,0.0,0.0,120,horizon
16,54.564137867334075,0.0,0.0,0.0,0.0,120,horizon
17,53.986152367758066,0.0,0.0,0.0,0.0,120,horizon
18,54.697831919728,0.0,0.0,0.0,0.0,120,horizon
19,54.09228587164267,0.0,0.0,0.0,0.0,120,horizon
