episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,0.3825070208502917,1.0,1.0,0.0,1.0,18,goal
1,4.398333267144299,1.0,1.0,0.0,1.0,22,goal
2,7.789428741807599,1.0,1.0,0.0,1.0,32,goal
3,10.784914331579104,1.0,1.0,0.0,1.0,47,goal
4,110.17819537408863,1.0,1.0,0.0,1.0,72,goal
5,174.68492750381256,1.0,1.0,0.0,1.0,77,goal
6,33.07674767098414,1.0,1.0,0.0,1.0,50,goal
7,65.44632983222229,1.0,1.0,0.0,1.0,60,goal
8,4.713349422954332,1.0,1.0,0.0,1.0,25,goal
9,0.05372255943573832,1.0,1.0,0.0,1.0,4,goal
10,0.4212484378113015,1.0,1.0,0.0,1.0,12,goal
11,75.94035242165822,1.0,1.0,0.0,1.0,66,goal
12,2.201902774954706,1.0,1.0,0.0,1.0,26,goal
13,87.3128789865969,1.0,1.0,0.0,1.0,63,goal
14,2.2450425132664193,1.0,1.0,0.0,1.0,30,goal
15,86.21191499008523,1.0,1.0,0.0,1.0,62,goal
16,11.824361012467444,1.0,1.0,0.0,1.0,43,goal
17,97.86815564171914,1.0,1.0,0.0,1.0,66,goal
18,76.67922477872426,1.0,1.0,0.0,1.0,61,goal
19,35.15387676684452,1.0,1.0,0.0,1.0,50,goal
