episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,1.143558684693428,1.0,1.0,0.0,1.0,28,goal
1,122.14771115484005,1.0,1.0,0.0,1.0,72,goal
2,1.602358717016251,1.0,1.0,0.0,1.0,19,goal
3,0.6497667007269483,1.0,1.0,0.0,1.0,14,goal
4,30.557470934853207,1.0,1.0,0.0,1.0,55,goal
5,38.184987877007224,1.0,1.0,0.0,1.0,59,goal
6,2.0678495838821913,1.0,1.0,0.0,1.0,30,goal
7,52.37638872866689,1.0,1.0,0.0,1.0,64,goal
8,25.819637814337156,1.0,1.0,0.0,1.0,55,goal
9,197.13213492671878,1.0,1.0,0.0,1.0,80,goal
10,22.74234442499768,1.0,1.0,0.0,1.0,47,goal
11,51.96290027827244,1.0,1.0,0.0,1.0,63,goal
12,0.1992672993990079,1.0,1.0,0.0,1.0,8,goal
13,40.16892755029304,1.0,1.0,0.0,1.0,61,goal
14,88.40367832844717,1.0,1.0,0.0,1.0,68,goal
15,2.1908854056984244,1.0,1.0,0.0,1.0,29,goal
16,11.705290443706627,1.0,1.0,0.0,1.0,35,goal
17,22.088165880270044,1.0,1.0,0.0,1.0,53,goal
18,0.003619889635810372,1.0,1.0,0.0,1.0,1,goal
19,60.57461491010219,1.0,1.0,0.0,1.0,67,goal
