task,method,seed,cost,success,strict_success,violation,reach_avoid,steps,training_interactions,online_model_predictions,evaluation_interactions,input_sha,checkpoint_sha,noise_std_action_range_fraction
stochastic_continuous_braking_car,SMoSE,0,6.377419602447774,1.0,1.0,0.0,1.0,1.0,100000,0,20,f2eab2189687c0c411796b19cebadaad066e42c8f7bc3720217c6b841f5710e6,de3a9246a39839b6f0a193fdf999a760106ea2f2ddc3fbd4be75bb1a2f0a0316,0.05
stochastic_continuous_braking_car,SAC,0,4.791545526781624,1.0,1.0,0.0,1.0,1.15,100000,0,23,f2eab2189687c0c411796b19cebadaad066e42c8f7bc3720217c6b841f5710e6,5e5547e0b4f571f0fd92e972098991b769d0fa2978cca9f87782e3d1c06f2ebc,0.05
stochastic_pendulum_swing_up,SMoSE,0,57.25281257944441,1.0,1.0,0.0,1.0,64.8,100000,0,1296,bfa0c369e556f8030d9c38760272098992ac5c68ad372d69151195d5a612242d,f7a93b54dceb958fc0a3a8513f4b594d1bbfd72f098091c1dd93697ba356c55d,0.05
stochastic_pendulum_swing_up,SAC,0,57.05544942321785,1.0,1.0,0.0,1.0,49.0,100000,0,980,bfa0c369e556f8030d9c38760272098992ac5c68ad372d69151195d5a612242d,5d056045100e4a56c57bfbdd3c9ba6bb6d8d7d6af9eaad438eadbaa26dea5797,0.05
stochastic_continuous_point_mass,SMoSE,0,8.70765190934464,1.0,1.0,0.0,1.0,15.3,100000,0,306,10dd253944f7780ceb827ea7204ad283760116d2e3e15e99b73149f5190b2ca2,6d789c7ad43e37b6ea9d74ee6ba4fa4280fed9055bd2253f3e9fffa169fa18c6,0.05
stochastic_continuous_point_mass,SAC,0,8.298980086017227,1.0,1.0,0.0,1.0,15.0,100000,0,300,10dd253944f7780ceb827ea7204ad283760116d2e3e15e99b73149f5190b2ca2,1e2074775d26924f63b8a22e4fc94c0395b5a81bdbdd35152009e2dd3bb6950e,0.05
stochastic_continuous_double_integrator_parking,SMoSE,0,3.7992458553224373,1.0,1.0,0.0,1.0,12.25,100000,0,245,81d141675fe12c5ab5591e17630665e93898578cec1f96be6895dd3671301f52,cd692c4e1cf2313a9608c922fa6b087f3742c82dc9b89e385f88f55a7f11ec40,0.05
stochastic_continuous_double_integrator_parking,SAC,0,3.6361863370609244,1.0,1.0,0.0,1.0,10.25,100000,0,205,81d141675fe12c5ab5591e17630665e93898578cec1f96be6895dd3671301f52,175717783a3ce0c09d9939836e6c30ae37d71cec40ff00a6acde186964110202,0.05
stochastic_continuous_braking_car,SMoSE,1,10.927621690611428,0.95,0.95,0.05,0.95,1.15,100000,0,23,f30310ffd1992aadf0c03f695843f0c1ab8e155dafbcbd72c5a9833bae3a503d,d5e5987d28f3f1cb97ce909a59d472f6b674504e96af33725aff2e303e34fcbc,0.05
stochastic_continuous_braking_car,SAC,1,10.007725752524038,0.95,0.95,0.05,0.95,1.05,100000,0,21,f30310ffd1992aadf0c03f695843f0c1ab8e155dafbcbd72c5a9833bae3a503d,fc3841bc43cc55d52a3266cfe7c7b75b128f2fbd034d537565a9ae8b8843bef9,0.05
stochastic_pendulum_swing_up,SMoSE,1,38.58607797667823,1.0,1.0,0.0,1.0,45.4,100000,0,908,b72145197c9a0608f0b3b430d9168538d3c991945249c01b8ec871317389bac4,c92dd60674bc32a3db250545033c6f1663f2584f971abb63f91782f060a80e5f,0.05
stochastic_pendulum_swing_up,SAC,1,36.89278471411115,1.0,1.0,0.0,1.0,47.3,100000,0,946,b72145197c9a0608f0b3b430d9168538d3c991945249c01b8ec871317389bac4,9d7a05a7958bbcb029436d1ca6b39e05ab3a24ea37074545b221df364cd60aa7,0.05
stochastic_continuous_point_mass,SMoSE,1,10.380908529209648,0.95,0.95,0.0,0.95,22.05,100000,0,441,b49531da55645fc741985e2b1a9a5e974b7be4b191a5af5130255fe991e87127,55e72b43a3294aafb03f356c815e9baadb3b58a384953a609c0a14b483a13085,0.05
stochastic_continuous_point_mass,SAC,1,8.310764597859624,1.0,1.0,0.0,1.0,15.3,100000,0,306,b49531da55645fc741985e2b1a9a5e974b7be4b191a5af5130255fe991e87127,963ada2d8c9abb2595c1abb54040cc1a10e202ecd276d8c47039ceb472a14c4b,0.05
stochastic_continuous_double_integrator_parking,SMoSE,1,3.1146871313625804,1.0,1.0,0.0,1.0,10.05,100000,0,201,43072a35a7e451151d595ed18d496b5b873513f52619fdac37dc8b022f79d1b6,0ae32622b4f7a24b3aa664f4c39a82c27992195d834d8124ce7378a8cf7a5b1c,0.05
stochastic_continuous_double_integrator_parking,SAC,1,3.1017852888758926,1.0,1.0,0.0,1.0,9.45,100000,0,189,43072a35a7e451151d595ed18d496b5b873513f52619fdac37dc8b022f79d1b6,7a784973583bd5dfc9ca7cf268996fff7da0a3004d0e62815ce21e58ee179e3d,0.05
stochastic_continuous_braking_car,SMoSE,2,9.871168113677225,0.95,0.95,0.05,0.95,1.2,100000,0,24,402e41c2d9a250211862086d7351dae69d0c9893bee657702ab0fcb489e9ce26,8126e0e612928bfa2c5cb97f3687f92f81f32d227dc34f8296a1592e473c05e3,0.05
stochastic_continuous_braking_car,SAC,2,9.237912091204787,0.95,0.95,0.05,0.95,1.15,100000,0,23,402e41c2d9a250211862086d7351dae69d0c9893bee657702ab0fcb489e9ce26,8da8dab3954dec29651935b0fc53186db7e8d52a18dc555149458b8a5b6034b6,0.05
stochastic_pendulum_swing_up,SMoSE,2,46.71211315504384,1.0,1.0,0.0,1.0,49.15,100000,0,983,07e7e0fe4f17785d48c57b87b120fcda5d2a8aa1970b6ce51ad05b902126a9de,f7abf6fbbdbc2004e68371cab3e4847c696c1001cd6b8a9036ca69a8034ea45f,0.05
stochastic_pendulum_swing_up,SAC,2,46.09258951518611,1.0,1.0,0.0,1.0,46.3,100000,0,926,07e7e0fe4f17785d48c57b87b120fcda5d2a8aa1970b6ce51ad05b902126a9de,6a0e8040298cf0df82674f251de5acb48023d1a2457be547ee8b8197aad8a5fd,0.05
stochastic_continuous_point_mass,SMoSE,2,21.304937271842526,0.0,0.0,0.0,0.0,120.0,100000,0,2400,a2cfa5146b6a3285cc6b050b9e3a2ab6845fdb3683c12e37d9095aea65734832,79c1897fdc90769a8b2c46a95847f7fbe95b9df3fbed92c39f7741dbfc2323cb,0.05
stochastic_continuous_point_mass,SAC,2,9.288596441978104,1.0,1.0,0.05,0.95,15.15,100000,0,303,a2cfa5146b6a3285cc6b050b9e3a2ab6845fdb3683c12e37d9095aea65734832,9139e77f4124421a198b1ba370f4d8a8045684c0e3c838976fddca1fbb3c0078,0.05
stochastic_continuous_double_integrator_parking,SMoSE,2,3.7823315430391924,1.0,1.0,0.0,1.0,10.55,100000,0,211,747aa80f7e9f6e9f909ce441b30154480fee5a3998b8c1818a526e1493e14b19,34e8a3d83700a3e90323f5bdf2893e162eec06a5ed0e89ca6e5f1c688625fd01,0.05
stochastic_continuous_double_integrator_parking,SAC,2,3.763962077198264,1.0,1.0,0.0,1.0,10.6,100000,0,212,747aa80f7e9f6e9f909ce441b30154480fee5a3998b8c1818a526e1493e14b19,7fd652d76cc09c50cf7e1a92cacc5968975a580c68eede3701ea5963c412d55c,0.05
stochastic_continuous_braking_car,SMoSE,3,10.839333334610817,0.95,0.95,0.05,0.95,1.1,100000,0,22,e1ed36fbd5efcedaf6ac6792a8df5d68f380001d314ac8a72b49c4f9d2124ced,174b837d53d6084f65dcc484cd6e1c13834e851cff61e1c661171a128f1bceec,0.05
stochastic_continuous_braking_car,SAC,3,9.25834710575744,0.95,0.95,0.05,0.95,1.1,100000,0,22,e1ed36fbd5efcedaf6ac6792a8df5d68f380001d314ac8a72b49c4f9d2124ced,bcbe1402f014f282d3f474f30a86c7ffed7838b319f0c64720dafc553f58f9c3,0.05
stochastic_pendulum_swing_up,SMoSE,3,48.58470458069132,1.0,1.0,0.0,1.0,48.85,100000,0,977,ee707dc0e359bb31a5438810355c2518b210680d33ba582e74982731feb9490f,1c4d3f51acbeea5609fae768e56e73db8676b221ea22f2fe5effd58e341647bc,0.05
stochastic_pendulum_swing_up,SAC,3,47.664211374515325,1.0,1.0,0.0,1.0,45.45,100000,0,909,ee707dc0e359bb31a5438810355c2518b210680d33ba582e74982731feb9490f,cbc2c86c0428a717a8cef992b4461b7b2c06ff78c40387322d1cc47c1255ffef,0.05
stochastic_continuous_point_mass,SMoSE,3,29.059186995234256,0.0,0.0,0.0,0.0,120.0,100000,0,2400,e4da0c7ec40534f1ec9ee0e6ef0527b3c780b57b9226548222c2d00d9103e60d,645ef0ceb7aee306165bec9d9660df8166ebea5f69fb407d51e5b06db9e18263,0.05
stochastic_continuous_point_mass,SAC,3,8.419211462342606,1.0,1.0,0.0,1.0,15.3,100000,0,306,e4da0c7ec40534f1ec9ee0e6ef0527b3c780b57b9226548222c2d00d9103e60d,dc313997acae11b33bfd203fac3b522fc3b27cf8be812430a4c53812a1c4d091,0.05
stochastic_continuous_double_integrator_parking,SMoSE,3,3.2466874198685742,1.0,1.0,0.0,1.0,10.55,100000,0,211,9d240c88e702df625451d6b28a0dee7e6509fa458cd8a5c6ed82aff6c47a8f22,a25c7f4c9d2ddab05838eb239fcdcced045131297a9cffcca2977e46edb74ae3,0.05
stochastic_continuous_double_integrator_parking,SAC,3,3.2210759920805003,1.0,1.0,0.0,1.0,10.3,100000,0,206,9d240c88e702df625451d6b28a0dee7e6509fa458cd8a5c6ed82aff6c47a8f22,ac5b2062b96b8844b1b5cc8dfe5750e42caf228d9a0d4525c0806e0e764c4620,0.05
stochastic_continuous_braking_car,SMoSE,4,20.12329004776453,0.85,0.85,0.15,0.85,1.05,100000,0,21,fb5da1f162ea0d3aabb38fddd6245b9dcb0487d8b8348a3f1a15f981fe28c7da,e1a470b2e914d0c8fa5fd744c989a670c75e82853af2009ba7602a994a238ac4,0.05
stochastic_continuous_braking_car,SAC,4,14.410902167310297,0.9,0.9,0.1,0.9,1.1,100000,0,22,fb5da1f162ea0d3aabb38fddd6245b9dcb0487d8b8348a3f1a15f981fe28c7da,c8030e967ad6d5db3b8fb4852ad678b708157fc6918bdd74c9062e3caa8b896e,0.05
stochastic_pendulum_swing_up,SMoSE,4,47.864232977942095,1.0,1.0,0.0,1.0,44.45,100000,0,889,4cf7e85dce3f19f12c0dbf4c62fe1c768ffe8ad38f9004de96def243daff3fe0,da67124f192643a8636793b8e181a2ec8c00d84f7582cfd7cc55a392ed7d7a4b,0.05
