task,method,metric,mean,std,ci95_low,ci95_high
stochastic_continuous_braking_car,SMoSE,cost,14.160267955405299,5.177379622129864,11.257623097286286,17.382568197999827
stochastic_continuous_braking_car,SMoSE,success,0.9099999999999999,0.05676462121975465,0.875,0.9400000000000001
stochastic_continuous_braking_car,SMoSE,violation,0.09000000000000001,0.056764621219754674,0.06,0.12500000000000003
stochastic_continuous_braking_car,SMoSE,strict_success,0.9099999999999999,0.05676462121975465,0.875,0.9400000000000001
stochastic_continuous_braking_car,SMoSE,reach_avoid,0.9099999999999999,0.05676462121975465,0.875,0.9400000000000001
stochastic_continuous_braking_car,SMoSE,training_interactions,100000.0,0.0,100000.0,100000.0
stochastic_continuous_braking_car,SMoSE,online_model_predictions,0.0,0.0,0.0,0.0
stochastic_continuous_braking_car,SMoSE,evaluation_interactions,22.7,2.3118054512532935,21.5,24.2
stochastic_continuous_braking_car,SAC,cost,12.662076718528496,4.9133241336623215,9.881618790008298,15.735899398429833
stochastic_continuous_braking_car,SAC,success,0.915,0.05296749527356898,0.8800000000000001,0.945
stochastic_continuous_braking_car,SAC,violation,0.085,0.05296749527356902,0.05500000000000001,0.12
stochastic_continuous_braking_car,SAC,strict_success,0.915,0.05296749527356898,0.8800000000000001,0.945
stochastic_continuous_braking_car,SAC,reach_avoid,0.915,0.05296749527356898,0.8800000000000001,0.945
stochastic_continuous_braking_car,SAC,training_interactions,100000.0,0.0,100000.0,100000.0
stochastic_continuous_braking_car,SAC,online_model_predictions,0.0,0.0,0.0,0.0
stochastic_continuous_braking_car,SAC,evaluation_interactions,22.6,2.011080417199781,21.5,23.9
stochastic_pendulum_swing_up,SMoSE,cost,49.03707742730686,10.482557567662168,43.49731892530123,55.74099915551975
stochastic_pendulum_swing_up,SMoSE,success,0.9949999999999999,0.01581138830084191,0.985,1.0
stochastic_pendulum_swing_up,SMoSE,violation,0.0,0.0,0.0,0.0
stochastic_pendulum_swing_up,SMoSE,strict_success,0.9949999999999999,0.01581138830084191,0.985,1.0
stochastic_pendulum_swing_up,SMoSE,reach_avoid,0.9949999999999999,0.01581138830084191,0.985,1.0
stochastic_pendulum_swing_up,SMoSE,training_interactions,100000.0,0.0,100000.0,100000.0
stochastic_pendulum_swing_up,SMoSE,online_model_predictions,0.0,0.0,0.0,0.0
stochastic_pendulum_swing_up,SMoSE,evaluation_interactions,1000.9,129.4874082252359,935.3,1085.7025
stochastic_pendulum_swing_up,SAC,cost,47.35511852228438,11.17905435067541,41.46796520212745,54.551474726781784
stochastic_pendulum_swing_up,SAC,success,0.945,0.17392527130926086,0.835,1.0
stochastic_pendulum_swing_up,SAC,violation,0.0,0.0,0.0,0.0
stochastic_pendulum_swing_up,SAC,strict_success,0.945,0.17392527130926086,0.835,1.0
stochastic_pendulum_swing_up,SAC,reach_avoid,0.945,0.17392527130926086,0.835,1.0
