benchmark,method,seed,seconds,preparation_seconds,evaluation_seconds,iterations,mean_cost,success_rate,violation_rate,blocks,core_blocks,truncated_blocks,frontier_transitions,absorption_samples,status,model_calls,partition_seconds,absorption_seconds,frontier_solve_seconds,frontier_mode,frontier_backend,exact_action_projection,exact_projection_available,exact_projection_mean_width,exact_projection_feasible_rate,exact_projection_activation_rate,exact_projection_clipping_rate,action_regime,control_route,execution_device,scale_size,grid_state_count,block_compression_ratio,scalability_family,transition_regime,noise_scale,noise_model,action_sample_count,action_perturbation_count,action_perturbation_rate,mean_abs_action_deviation,mean_intended_action,mean_executed_action,frontier_hit_entropy,transition_expectation,scenario_count,evaluation_protocol,topology_noise_projection,topology_noise_interval_probability,topology_noise_support_points,support_aware_control,planning_horizon,training_seconds,scala_process_seconds,training_episodes,evaluation_episodes,alpha,gamma,epsilon0,epsilon_decay_factor,min_exploration,reward_mode,success_bonus,potential_scale,partition_variant,training_initialization,training_model_calls,evaluation_model_calls,learned_policy_entries,defaulted_blocks,defaulted_block_ids,source_artifact,partition_source,environment_parity,evaluation_owner,recorded_model_calls,preparation_model_calls,online_model_calls,absorption_model_calls,other_preparation_model_calls,call_count_source,control_and_runtime_source
stochastic_braking_car,SDTA-MDP,0,9.26081439992413,9.11161860008724,0.1491951998323202,2,14.63595,0.9,0.1,6,4,2,32,32,ok,4377,0.20996360015124083,8.89491070015356,0.0010486999526619911,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,33,5,0.15151515151515152,0.5911515151515151,-2.9563636363636365,-2.941515151515152,0.17419373285126794,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,702,702,3675,702,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,0,0.11648839991539717,0.11412580008618534,0.0023612999357283115,5,11.62755,0.95,0.05,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,21,4,0.19047619047619047,1.1903809523809525,-6.5476190476190474,-6.309619047619048,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,0,0.042899199994280934,0.04096040013246238,0.0019376000855118036,400,17.25255,0.9,0.1,,,,,,ok,446,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,21,4,0.19047619047619047,1.0713333333333335,-8.214285714285714,-7.142952380952382,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,0,0.08626130013726652,0.0,0.08623940008692443,0,14.618050000000002,0.9,0.1,,,,,,ok,2535,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,30,5,0.16666666666666666,0.6502666666666667,-3.245666666666666,-3.228733333333333,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,2535,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,1,8.161471199942753,8.065421999897808,0.09604860004037619,2,10.3477,0.95,0.05,6,4,2,28,32,ok,3255,0.18568450002931058,7.878573599969968,0.0006609000265598297,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,28,1,0.03571428571428571,0.01782142857142857,-4.144821428571428,-4.162642857142857,0.16812420956753546,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,707,707,2548,707,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,1,0.11224950011819601,0.11031199991703033,0.0019362999591976404,5,25.0,0.8,0.2,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,0,0.0,0.0,-6.0,-6.0,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,1,0.042956599965691566,0.0411491000559181,0.0018061997834593058,400,30.0,0.75,0.25,,,,,,ok,447,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,0,0.0,0.0,-5.751,-5.751,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,447,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,1,0.06311500002630055,0.0,0.063092399854213,0,10.315000000000001,0.95,0.05,,,,,,ok,1709,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,24,1,0.041666666666666664,0.01875,-4.81875,-4.8374999999999995,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1709,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,2,7.747573900036514,7.593321300111711,0.15425220015458763,2,14.095700000000003,0.9,0.1,6,4,2,31,32,ok,5503,0.1783664000686258,7.413797199958935,0.0006599000189453363,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,39,3,0.07692307692307693,0.3715384615384615,-2.474461538461538,-2.3336923076923073,0.18552117185276318,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,701,701,4802,701,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,2,0.10971069987863302,0.10686790011823177,0.0028415999840945005,5,19.0,0.85,0.15,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,1,0.05,0.49749999999999994,-5.125,-4.6274999999999995,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
