benchmark,method,seed,seconds,preparation_seconds,evaluation_seconds,iterations,mean_cost,success_rate,violation_rate,blocks,core_blocks,truncated_blocks,frontier_transitions,absorption_samples,status,model_calls,partition_seconds,absorption_seconds,frontier_solve_seconds,frontier_mode,frontier_backend,exact_action_projection,exact_projection_available,exact_projection_mean_width,exact_projection_feasible_rate,exact_projection_activation_rate,exact_projection_clipping_rate,action_regime,control_route,execution_device,scale_size,grid_state_count,block_compression_ratio,scalability_family,transition_regime,noise_scale,noise_model,action_sample_count,action_perturbation_count,action_perturbation_rate,mean_abs_action_deviation,mean_intended_action,mean_executed_action,frontier_hit_entropy,transition_expectation,scenario_count,evaluation_protocol,topology_noise_projection,topology_noise_interval_probability,topology_noise_support_points,support_aware_control,preparation_model_calls,absorption_model_calls,other_preparation_model_calls,online_model_calls,policy_decisions,online_model_calls_per_decision,model_call_accounting
stochastic_braking_car,SDTA-MDP,0,16.336392900091596,16.025204900070094,0.31118710001464933,2,14.63595,0.9,0.1,6,4,2,32,32,ok,4377,0.33681800006888807,15.68389070010744,0.0031505998922511935,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,33,5,0.15151515151515152,0.5911515151515151,-2.9563636363636365,-2.941515151515152,0.17419373285126794,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,702,702,0,3675,33,111.36363636363636,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,1,19.252511500031687,19.03310500003863,0.21940569998696446,2,10.3477,0.95,0.05,6,4,2,28,32,ok,3255,0.38960429991129786,18.641014000051655,0.0014161999570205808,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,28,1,0.03571428571428571,0.01782142857142857,-4.144821428571428,-4.162642857142857,0.16812420956753546,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,707,707,0,2548,28,91.0,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,2,20.983772700070404,20.554800000041723,0.42897190002258867,2,14.095700000000003,0.9,0.1,6,4,2,31,32,ok,5503,0.47030469996389,20.081433100043796,0.0016771999653428793,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,39,3,0.07692307692307693,0.3715384615384615,-2.474461538461538,-2.3336923076923073,0.18552117185276318,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,701,701,0,4802,39,123.12820512820512,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,3,19.113868699991144,18.854833299992606,0.25903449999168515,1,24.3562,0.8,0.2,6,4,2,26,32,ok,3789,0.43152380001265556,18.420565799926408,0.0013963000383228064,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,30,6,0.2,0.8329333333333333,-3.6707666666666663,-3.137833333333333,0.1721382508547446,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,702,702,0,3087,30,102.9,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,4,20.931560599943623,20.6078070999356,0.32375280000269413,2,25.170399999999997,0.8,0.2,6,4,2,27,32,ok,5850,0.37276919989380985,20.231770199956372,0.0022444999776780605,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,41,5,0.12195121951219512,0.5460975609756098,-2.8016585365853657,-2.986780487804878,0.14710053838907236,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,705,705,0,5145,41,125.48780487804878,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,5,20.440667200018652,20.155701100011356,0.2849655000027269,2,13.6751,0.9,0.1,6,4,2,30,32,ok,3289,0.4329065000638366,19.719926599995233,0.0016199999954551458,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,29,2,0.06896551724137931,0.34448275862068967,-3.036620689655172,-3.0362758620689654,0.21072584688710244,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,692,692,0,2597,29,89.55172413793103,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,6,16.69313119992148,16.38992479990702,0.30320530000608414,2,24.4026,0.8,0.2,6,4,2,33,32,ok,3298,0.3925396000267938,15.994279199978337,0.001393500017002225,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,29,2,0.06896551724137931,0.3275862068965517,-4.227655172413793,-3.900068965517241,0.20071841453699318,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,701,701,0,2597,29,89.55172413793103,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,7,17.88235920004081,17.577882900019176,0.3044755000155419,2,23.7663,0.8,0.2,6,4,2,28,32,ok,4464,0.3860518999863416,17.189952999935485,0.0009639998897910118,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,34,4,0.11764705882352941,0.4266764705882353,-3.077,-2.7978529411764703,0.18197142882003503,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,691,691,0,3773,34,110.97058823529412,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,8,16.919613700010814,16.635070000076666,0.2845430999295786,2,23.0053,0.8,0.2,6,4,2,27,32,ok,4219,0.4398722000187263,16.193509899894707,0.00090230000205338,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,31,3,0.0967741935483871,0.29029032258064513,-2.5663548387096777,-2.5985806451612907,0.18970457333453986,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,691,691,0,3528,31,113.80645161290323,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_braking_car,SDTA-MDP,9,17.109385499963537,16.644196299952455,0.46518830000422895,2,33.4321,0.7,0.3,6,4,2,29,32,ok,6773,0.3588633999461308,16.28252790006809,0.0016030999831855297,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,49,8,0.16326530612244897,0.9178979591836735,-2.0853877551020403,-1.78169387755102,0.17992865782980808,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,697,697,0,6076,49,124.0,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,0,92.1374744999921,91.37106909998693,0.7664045999990776,2,5.236328083989269,1.0,0.0,26,22,4,286,32,ok,9940,33.09134270006325,58.263879199977964,0.006042900029569864,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,29,24,0.8275862068965517,0.29041988429631577,-3.5106767241379297,-3.595743506199496,0.2743137268566875,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5577,5577,0,4363,29,150.44827586206895,leaf-dynamics-v2: preparation + online; excludes execution and visualization
